2026-04-07 02:44:37 | INFO | bot | Скринер запущен. Получение символов Phemex...
2026-04-07 02:44:38 | INFO | bot | 🤖 <b>Скринер активен (WSS)</b>
Биржа: Phemex Futures
Символов: 518
Паттерн: Ручеек (depth=8)
2026-04-07 02:44:39 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:44:39 | INFO | bot | 🔄 Менеджер Фандингов запущен (Интервал: 60с). Binance API включен: True
2026-04-07 02:44:40 | INFO | bot | Подключение к WSS Phemex и подписка на стаканы...
2026-04-07 02:48:14 | INFO | bot | Скринер запущен. Получение символов Phemex...
2026-04-07 02:48:14 | INFO | bot | 🤖 <b>Скринер активен (WSS)</b>
Биржа: Phemex Futures
Символов: 518
Паттерн: Ручеек (depth=8)
2026-04-07 02:48:16 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:16 | INFO | bot | 🔄 Менеджер Фандингов запущен (Интервал: 60с). Binance API включен: True
2026-04-07 02:48:17 | INFO | bot | Подключение к WSS Phemex и подписка на стаканы...
2026-04-07 02:48:18 | DEBUG | bot | 🔄 Кэш Фандингов обновлен. Phemex: 539 монет, Binance: 714 монет.
2026-04-07 02:48:18 | DEBUG | bot | [DRIFTUSDT] Фандинг 1 триггер: rate=-3.0%, time_left=701.8s
2026-04-07 02:48:18 | INFO | bot | 💸 [Фандинг 1] Блок Phemex! Под запретом 1 монет: DRIFTUSDT...
2026-04-07 02:48:18 | DEBUG | bot | [AERGOUSDT] Фандинг 2 (Diff) триггер: diff=0.055827999999999996%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [AEROUSDT] Фандинг 2 (Diff) триггер: diff=0.058349%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [ARIAUSDT] Фандинг 2 (Diff) триггер: diff=0.080921%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [BNTUSDT] Фандинг 2 (Diff) триггер: diff=0.051563%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [BOBUSDT] Фандинг 2 (Diff) триггер: diff=0.145356%, min_time_left=701.8s
